old_id,new_id
BBEAR_00000222,PB.84.2
BBEAR_00000223,PB.85.1
BBEAR_00000224,PB.86.1
BBEAR_00000225,PB.87.1
BBEAR_00000226,PB.88.1
BBEAR_00000227,PB.89.1
BBEAR_00000228,PB.90.1
BBEAR_00002044,PB.91.1
BBEAR_00000229,PB.91.2
BBEAR_00002045,PB.91.3
BBEAR_00002047,PB.91.4
BBEAR_00002046,PB.91.5
BBEAR_00002048,PB.91.6
BBEAR_00002049,PB.91.7
BBEAR_00000230,PB.92.1
BBEAR_00000231,PB.92.2
BBEAR_00000232,PB.92.3
BBEAR_00000233,PB.93.1
BBEAR_00000235,PB.93.2
BBEAR_00000234,PB.93.3
BBEAR_00000236,PB.93.4
BBEAR_00002050,PB.93.5
BBEAR_00002051,PB.94.1
BBEAR_00002052,PB.95.1
BBEAR_00002053,PB.95.2
BBEAR_00002054,PB.95.3
BBEAR_00002055,PB.95.4
BBEAR_00002056,PB.95.5
BBEAR_00000237,PB.95.6
BBEAR_00002057,PB.95.7
BBEAR_00002058,PB.95.8
BBEAR_00002059,PB.95.9
BBEAR_00002060,PB.95.10
BBEAR_00002061,PB.95.11
BBEAR_00002062,PB.95.12
BBEAR_00002063,PB.95.13
BBEAR_00002064,PB.95.14
BBEAR_00000238,PB.95.15
BBEAR_00002065,PB.95.16
BBEAR_00002066,PB.95.17
BBEAR_00002067,PB.95.18
BBEAR_00000239,PB.96.1
BBEAR_00000240,PB.96.2
BBEAR_00000241,PB.96.3
BBEAR_00000242,PB.97.1
BBEAR_00000243,PB.98.1
BBEAR_00000244,PB.99.1
BBEAR_00000245,PB.100.1
BBEAR_00002068,PB.100.2
BBEAR_00002069,PB.100.3
BBEAR_00002070,PB.101.1
BBEAR_00000248,PB.101.2
BBEAR_00000247,PB.101.3
BBEAR_00000246,PB.101.4
BBEAR_00002071,PB.101.5
BBEAR_00002072,PB.101.6
BBEAR_00000249,PB.102.1
BBEAR_00002073,PB.102.2
BBEAR_00002074,PB.102.3
BBEAR_00002075,PB.103.1
BBEAR_00000250,PB.103.2
BBEAR_00000251,PB.104.1
BBEAR_00000253,PB.105.1
BBEAR_00000252,PB.105.2
BBEAR_00000254,PB.106.1
BBEAR_00000255,PB.107.1
BBEAR_00000256,PB.108.1
BBEAR_00000257,PB.108.2
BBEAR_00000258,PB.108.3
BBEAR_00000259,PB.109.1
BBEAR_00002076,PB.110.1
BBEAR_00002077,PB.110.2
BBEAR_00000260,PB.110.3
BBEAR_00000261,PB.111.1
BBEAR_00000262,PB.112.1
BBEAR_00000263,PB.113.1
